Infraccio_Codi Infraccio_Desc_Curta_CA Infraccio_Desc_Curta_ES Infraccio_Desc_Llarga_CA Infraccio_Desc_Llarga_ES Normativa Import_Nominal_€ Tipus_Infraccio Punts_A_Retirar 
910 NO_IDENTIFIC_CONDUCT_RESPONS_INFRACCIO NO_IDENTIFIC_CONDUCT_RESPONS_INFRACCION - - LSV 301 E 0 
912 NO_IDENTIFICAR_EL_CONDUCTOR_RESPONSABLE_DE_LA_INFRACCIO NO_IDENTIFICAR_AL_CONDUCTOR_RESPONSABLE_DE_LA_INFRACCION - - LSV 301 E 0 
913 NO_IDENTIFICAR_EL_CONDUCTOR_RESPONSABLE_DE_LA_INFRACCIO NO_IDENTIFICAR_AL_CONDUCTOR_RESPONSABLE_DE_LA_INFRACCION - - LSV 1000 E 0 
1001 INSTAL_SENYAL_V_PUB_SENSE_PERMIS_O_CAUSA INSTAL_SENAL_V_PUBL_SIN_PERMISO_O_CAUSA Instal.lar_senyalitzacio_en_una_via_publica_sense_autoritzacio_municipal_o_sense_causa_greu_que_ho_justifiqui - OCVV 90 E 0 
1002 COL.LOC_SOBRE_SENYAL/COSTAT_OBJ_PUBLICIT COLOCAR_SOBRE_SENAL/LADO_OBJETO_PUBLICIT Col.locar_publicitat_a_sobre_o_al_costat_dels_senyals - OCVV 90 E 0 
1003 COL.LOC_OBJ_QUE_ENLL/LIMITI_VISIO_SENYAL COLOC_OBJ_QUE_DESLUM/LIMIT_VISION_SENAL Col.locar_objectes_o_instal.lacions_que_enlluernin,_dificultin_la_visio_d'algun_senyal_o_distreguin_l'atencio - OCVV 90 E 0 
1004 COL.LOCAR_SENSE_AUT_OBST/OBJ_DEST_CIRCUL COLOCAR_SIN_AUTOR_OBST/OBJ_ENTORP_CIRCUL Col.locar_a_la_via_publica_obstacles_o_objectes_que_destorbin_o_pertorbin_la_circulacio_de_vianants_o_vehicles_sense_autoritzacio. - OCVV 90 E 0 
1005 COL_OBST_AUTOR_SENSE_PROT/SENYAL/IL.LUM COL_OBST_AUTOR_SIN_PROTEC/SENAL/ILUMINA Col.locar_a_la_via_publica_un_obstacle,_estant_autoritzat,_sense_proteccio,_senyalitzacio_i/o_il.luminacio_que_garanteixi_la_seguretat_dels_usuaris - OCVV 90 E 0 
1006 CIRCULAR_O_ATURAR-SE_A_LA_CALCADA CIRCULAR_O_PARARSE_EN_LA_CAZADA Circular_per_la_calcada_o_aturar-s'hi_creant_perill_o_pertorbant_la_fluidesa_del_transit. - OCVV 30 M 0 
1007 CREUAR_CALCADA_NO_FENT_CAS_DEL_SENYAL CRUZAR_CALZADA_NO_HACIENDO_CASO_DE_SENAL Travessar_la_calcada_sense_fer_cas_de_les_indicacions_dirigides_als_vianants - OCVV 30 M 0 
1008 CREUAR_CALCADA_FORA_PAS_VIANANT_S/PRECAU CRUZAR_CALZADA_FUERA_PASO_PEAT_S/PRECAUC Travessar_la_calcada_fora_del_lloc_destinat_al_pas_de_vianants,_o_fer-ho_sense_les_precaucions_necessaries. - OCVV 30 M 0 
1010 PUJ/BAIX_VEH_COST_CALCADA_CREANT_PERILL SUB/BAJAR_VEH_LADO_CALZADA_CREANDO_PELIG Pujar_al_vehicle_o_baixar-ne_pel_costat_de_la_calcada_creant_perill. - OCVV 40 M 0 
1011 PARAR_CARR/PLAC_S/VORERES_MENYS_1M_FACAN PARAR_CALL/PLAZ_S/ACERAS_MENOS_1M_FACHAD Parar_en_carrers_o_places_sense_vorera_sense_ajustar-se_a_la_distancia_minima_d'un_metre_de_la_facana. - OCVV 30 E 0 
1012 PARAR_TUNEL/CORBA/CANVI_RASANT_VISIB_RED PARAR_TUNEL/CURVA/CAMBIO_RASAN_VISIB_RED Parar_en_un_revolt_o_un_canvi_de_rasant_amb_visibilitat_reduida_o_tunel. - OCVV 90 E 0 
1013 PARAR-SE_EN_PAS_DE_CICLISTES PARARSE_EN_PASO_DE_CICLISTAS Parar_en_un_pas_de_ciclistes. - OCVV 60 E 0 
1014 PARAR-SE_EN_PAS_PER_A_VIANANTS PARARSE_EN_PASO_DE_PEATONES Parar_en_un_pas_de_vianants. - OCVV 60 E 0 
1015 PARAR_ZONA_VIANANTS_-ILLA_PEATONAL- PARAR_ZONA_PEATONES_-ISLA_PEATONAL- Parar_en_una_area_de_vianants. - OCVV 60 E 0 
1016 PARAR-SE_EN_VORERA_O_ANDANA PARARSE_EN_ACERA_O_ARCEN Parar_a_la_vorera_o_el_voral. - OCVV 60 E 0 
1017 PARAR-SE_EN_CARRIL_BUS PARARSE_EN_CARRIL_BUS Parar_al_carril_BUS. - OCVV 200 E 0 
1018 PARAR-SE_PARADA_DE_TRANSPORT_PUBLIC PARARSE_EN_PARADA_DE_TRANSPORTE_PUBLICO Parar_en_parades_de_transport_public. - OCVV 60 E 0 
