Concepte Valor Valor_Desc_CA Valor_Desc_ES
SUBTIPUS_EXPEDIENT BE BAIXES_EMISSIONS BAJAS_EMISIONES
SUBTIPUS_EXPEDIENT CR CIRCULACIÓ_LLEU CIRCULACIÓN_LEVE
SUBTIPUS_EXPEDIENT CG CIRCULACIÓ_GREU/MOLT_GREU_FINS_14/2/2023 CIRCULACIÓN_GRAVE/MUY_GRAVE_HASTA_14/2/2023
SUBTIPUS_EXPEDIENT CH CIRCULACIÓ_GREU/MOLT_GREU CIRCULACIÓN_GRAVE/MUY_GRAVE
SUBTIPUS_EXPEDIENT RP CIRCULACIÓ_GREU/MOLT_GREU_AMB_RETIRADA_DE_PUNTS CIRCULACIÓN_GRAVE/MUY_GRAVE_CON_RETIRADA_DE_PUNTOS
MITJA_IMPOSICIO PAP PAPERETA PAPELETA
MITJA_IMPOSICIO PGU PDA_GUÀRDIA_URBANA PDA_GUARDIA_URBANA
MITJA_IMPOSICIO BSM PDA_ÀREA PDA_ÄREA
MITJA_IMPOSICIO MTO MITJA_TÈCNIC_OPERATIU_(IMATGES) MEDIO_TÉCNICO_OPERATIVO_(IMÁGENES)
MITJA_IMPOSICIO AGU AGENT_GUÀRDIA_URBANA AGENTE_GUARDIA_URBANA
MITJA_IMPOSICIO EST ESTACIONAMENT ESTACIONAMIENTO
MITJA_IMPOSICIO INS INSPECCIÓ INSPECCIÓN
MITJA_IMPOSICIO REQ REQUERIMENT REQUERIMIENTO
MITJA_IMPOSICIO OFI ACTUACIÓ_D'OFICI ACTUACIÓN_DE_OFICIO
MITJA_IMPOSICIO CON CONDICIONADA CONDICIONADA
MITJA_IMPOSICIO PDA PDA_GUÀRDIA_URBANA_(MIGRAT) PDA_GUARDIA_URBANA_(MIGRADO)
MITJA_IMPOSICIO MOS MOSSOS MOSSOS
 
